id,sex,country,city,bdate
83480937,Male,Италия,Venezia,Unfiled_bdate
83460812,Male,Украина,Донецк,Unfiled_bdate
83459963,Male,Россия,Казань,2000
83449778,Female,Россия,Москва,Unfiled_bdate
83444766,Male,Россия,Unfiled_city,1994
83409606,Male,Россия,Москва,Unfiled_bdate
83369993,Male,Россия,Москва,Unfiled_bdate
83355892,Male,Россия,Unfiled_city,Unfiled_bdate
83333678,Male,Беларусь,Минск,Unfiled_bdate
83330011,Male,Россия,Альметьевск,1999
83325621,Male,Россия,Москва,Unfiled_bdate
83301565,Male,Россия,Unfiled_city,1992
83254947,Male,Россия,Москва,Unfiled_bdate
83198785,Male,Россия,Красноярск,Unfiled_bdate
83188016,Male,Россия,Москва,Unfiled_bdate
83122760,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
83116431,Male,США,Chicago,Unfiled_bdate
83108514,Male,Украина,Unfiled_city,Unfiled_bdate
83025227,Male,Австралия,Sydney,1998
83002591,Male,Россия,Мичуринск,Unfiled_bdate
82984400,Female,Россия,Чехов,1995
82945314,Male,Россия,Ульяновск,Unfiled_bdate
82914472,Female,Россия,Unfiled_city,Unfiled_bdate
82874731,Male,Россия,Кемерово,Unfiled_bdate
82847443,Male,Россия,Ульяновск,Unfiled_bdate
82813308,Male,Россия,Сыктывкар,1999
82810662,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
82809076,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
82752737,Male,Россия,Москва,1998
82717330,Male,Россия,Unfiled_city,Unfiled_bdate
82689141,Male,Россия,Москва,1998
82675388,Male,Россия,Unfiled_city,Unfiled_bdate
82665248,Male,Россия,Екатеринбург,1998
82608807,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
82605414,Male,Россия,Новосибирск,1999
82600929,Male,Россия,Тула,1996
82562324,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
82557333,Male,Россия,Санкт-Петербург,1998
82541855,Male,Россия,Unfiled_city,Unfiled_bdate
82526408,Male,Россия,Unfiled_city,1998
82524493,Male,Россия,Москва,1998
82456057,Male,Россия,Москва,Unfiled_bdate
82436311,Male,Россия,Unfiled_city,2001
82423754,Male,Россия,Москва,1998
82418236,Male,Россия,Кострома,Unfiled_bdate
82409992,Male,Россия,Москва,Unfiled_bdate
82325783,Female,Россия,Рязань,1996
82320674,Male,Россия,Воронеж,Unfiled_bdate
82305211,Male,Россия,Москва,Unfiled_bdate
82273829,Male,Россия,Санкт-Петербург,Unfiled_bdate
82219031,Male,Россия,Рязань,1997
82199658,Male,Россия,Екатеринбург,1998
82172363,Male,Россия,Москва,Unfiled_bdate
82082840,Female,Россия,Санкт-Петербург,Unfiled_bdate
82057591,Male,Россия,Unfiled_city,Unfiled_bdate
82015482,Male,Россия,Благовещенск,1991
81964288,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
