id,sex,country,city,bdate,years,range_years
6352628,Female,Россия,Санкт-Петербург,1992,29,Старше 27
6350064,Male,Россия,Воронеж,1988,33,Старше 27
6333818,Male,Россия,Новосибирск,1987,34,Старше 27
6331283,Male,Россия,Москва,1984,37,Старше 27
6320655,Male,Россия,Новосибирск,1987,34,Старше 27
6319010,Male,Россия,Киров,1991,30,Старше 27
6253193,Male,Россия,Калуга,1989,32,Старше 27
6250953,Male,Россия,Москва,1993,28,Старше 27
6249983,Male,Россия,Санкт-Петербург,1991,30,Старше 27
6241258,Male,Россия,Саранск,1988,33,Старше 27
6226529,Male,Россия,Москва,1984,37,Старше 27
6214706,Male,Россия,Санкт-Петербург,1992,29,Старше 27
6214599,Male,Россия,Пушкино,1981,40,Старше 27
6209229,Male,Россия,Екатеринбург,1991,30,Старше 27
6199774,Male,Россия,Подольск,1992,29,Старше 27
6185693,Male,Россия,Тюмень,1987,34,Старше 27
6179377,Male,Россия,Ростов-на-Дону,1989,32,Старше 27
6171058,Male,Россия,Сочи,1991,30,Старше 27
6155710,Male,Россия,Ярославль,1991,30,Старше 27
6147527,Male,Россия,Новосибирск,1989,32,Старше 27
6132903,Male,Россия,Якутск,1991,30,Старше 27
6103330,Male,Россия,Москва,1993,28,Старше 27
6093768,Male,Россия,Новочеркасск,1989,32,Старше 27
6086227,Male,Россия,Тюмень,1985,36,Старше 27
6084787,Female,Россия,Москва,1987,34,Старше 27
6075095,Male,Россия,Калуга,1988,33,Старше 27
6064574,Male,Россия,Москва,1987,34,Старше 27
6049055,Male,Россия,Санкт-Петербург,1983,38,Старше 27
5942397,Male,Россия,Москва,1993,28,Старше 27
5938893,Male,Россия,Сочи,1990,31,Старше 27
5911678,Male,Россия,Владимир,1994,27,23-27
5908063,Male,Россия,Москва,1991,30,Старше 27
